date,close,volume,inst_net,frgn_net,frgn_hold,frgn_rate
2024-08-28,83500,410100,-15981,45753,17146974,24.83%
2024-08-29,89700,1711465,43137,138886,17286260,25.03%
2024-08-30,90800,1064037,-3377,-12236,17272469,25.01%
2024-09-02,95000,1333219,74382,-39730,17233262,24.95%
2024-09-03,92000,392433,-21938,2081,17235115,24.95%
2024-09-04,89000,516546,-20684,31291,17268181,25.00%
2024-09-05,92600,897673,80168,86476,17355480,25.13%
2024-09-06,90800,1340518,-68648,-13540,17340694,25.11%
2024-09-09,95100,990086,-18221,54187,17393713,25.18%
2024-09-10,92100,526120,-29284,-31881,17362066,25.14%
2024-09-11,93300,634459,-19990,35968,17396856,25.19%
2024-09-12,99300,947917,71501,70833,17468028,25.29%
2024-09-13,103600,1129531,-14981,60319,17529870,25.38%
2024-09-19,104200,757367,-114144,46827,17577346,25.45%
2024-09-20,105300,1184163,-52906,128029,17705032,25.63%
2024-09-23,116200,1889618,-73264,166650,17873639,25.88%
2024-09-24,117400,1019750,55335,-94091,17779314,25.74%
2024-09-25,119500,1555188,6524,97992,17876777,25.88%
2024-09-26,127800,1431978,5943,231004,18108761,26.22%
2024-09-27,130600,911356,11054,-50034,18059339,26.15%
2024-09-30,134900,3479839,-129274,18969,18076057,26.17%
2024-10-02,134600,1049588,-22805,-42300,18033687,26.11%
2024-10-04,129600,927807,-14916,93046,18126026,26.24%
2024-10-07,127300,911279,17479,-42128,18085357,26.18%
2024-10-08,126900,888041,44018,-145961,17939176,25.97%
2024-10-10,122500,1239716,-4704,-156736,17781143,25.74%
2024-10-11,117600,912411,-74288,76457,17856727,25.85%
2024-10-14,117800,579830,-20252,-63302,17793593,25.76%
2024-10-15,112200,959167,-68475,-68144,17725102,25.66%
2024-10-16,115000,912787,13596,18313,17743649,25.69%
2024-10-17,113800,538770,-23274,-83248,17660293,25.57%
2024-10-18,116500,480808,-21556,2540,17662598,25.57%
2024-10-21,116000,381686,9497,-38297,17624418,25.52%
2024-10-22,106600,757118,-45834,26751,17650956,25.56%
2024-10-23,112600,774433,19522,110184,17760518,25.71%
2024-10-24,110900,677238,-12216,-161922,17597539,25.48%
2024-10-25,110000,412490,15523,-28234,17568914,25.44%
2024-10-28,117700,994812,14847,151084,17719322,25.65%
2024-10-29,118900,589806,-1008,-73150,17646466,25.55%
2024-10-30,114800,363723,-20312,-40703,17605521,25.49%
2024-10-31,112500,407764,3586,-9626,17596261,25.48%
2024-11-01,112100,425222,16947,39409,17635818,25.53%
2024-11-04,123000,1330689,78023,105066,17741194,25.69%
2024-11-05,118300,611265,-86335,-100097,17640658,25.54%
